mat,T,k,bid,ask,mid,w,half_spread,in_cone,iv_rough,iv_classic
1,0.1040383288648205,-0.161203573781056,0.263922336,0.264951746,0.264437041,0.0072750828804571,0.000514705,True,0.2599193995895276,0.25991939024487487
1,0.1040383288648205,-0.1595271282252781,0.262798845,0.263814489,0.263306667,0.007213019047775,0.0005078219999999,True,0.25906616595932563,0.2590661568043809
1,0.1040383288648205,-0.158689957610996,0.262230097,0.263238983,0.26273454,0.0071817074249544,0.0005044429999999,True,0.25863852891772826,0.25863851985894554
1,0.1040383288648205,-0.1578534872651481,0.261656737,0.262658947,0.262157842,0.0071502145663998,0.000501105,True,0.2582101557956321,0.25821014683375865
1,0.1040383288648205,-0.1561826426995728,0.260496352,0.261731569,0.26111396,0.0070933852922876,0.0006176085,True,0.25735106541019315,0.2573510566441808
1,0.1040383288648205,-0.1545145863665452,0.259318014,0.260294299,0.259806157,0.0070225080475866,0.0004881425,True,0.256488688583691,0.2564886800156706
1,0.1040383288648205,-0.1528493066474492,0.258122033,0.259804125,0.258963079,0.0069770055392474,0.000841046,True,0.25562292909593937,0.2556229207272819
1,0.1040383288648205,-0.1511867954751302,0.256908701,0.258569528,0.257739114,0.0069112090575356,0.0008304134999999,True,0.25475380585801405,0.25475379768920614
1,0.1040383288648205,-0.1503565763825332,0.256532615,0.257945987,0.257239301,0.0068844303296779,0.0007066859999999,True,0.25431801771171814,0.25431800964279827
1,0.1040383288648205,-0.1495270448206675,0.255913799,0.257085236,0.256499518,0.0068448900171392,0.0005857184999999,True,0.25388144027261217,0.25388143230343474
1,0.1040383288648205,-0.1478700432150479,0.254663645,0.256280609,0.255472127,0.0067901663700715,0.0008084819999999,True,0.2530060329893604,0.2530060252189865
1,0.1040383288648205,-0.1462157827223471,0.253626292,0.254539676,0.254082984,0.0067165233679612,0.000456692,True,0.25212783841629777,0.25212783084349366
1,0.1040383288648205,-0.1445642554440449,0.252340586,0.253915767,0.253128177,0.0066661387739544,0.0007875905,True,0.25124712947536937,0.2512471220987853
1,0.1040383288648205,-0.1429154500578948,0.251262285,0.252816083,0.252039184,0.0066089048214611,0.000776899,True,0.25036416181254467,0.2503641546309201
